,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,State
1151,2022-04-28,2,15000,1200,1 out of 3,Super Area,"Jp Nagar Phase 1, J P Nagar",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1042,2022-04-28,1,36000,540,2 out of 3,Super Area,in Mahim West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,2
1815,2022-04-28,1,6500,300,2 out of 3,Super Area,Hebbal,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
286,2022-04-28,2,12000,800,1 out of 2,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
1211,2022-04-28,3,20000,1200,Ground out of 1,Carpet Area,"Ms Palya, Vidyaranyapura",Bangalore,Furnished,Bachelors,2,Contact Owner,2
1478,2022-04-28,1,6000,600,3 out of 3,Super Area,Hongasandra,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
1232,2022-04-28,1,14000,750,3 out of 4,Carpet Area,"Jp Nagar Phase 5, J P Nagar, Outer Ring Road",Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
113,2022-04-28,3,15000,1600,1 out of 3,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
1055,2022-04-28,1,25000,641,3 out of 8,Super Area,Borivali West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2
3522,2022-04-28,2,12000,1100,3 out of 3,Super Area,Nizampet,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1
1525,2022-04-28,1,15000,700,2 out of 4,Super Area,Varthur,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1474,2022-04-28,1,7000,400,2 out of 7,Carpet Area,Gunjur,Bangalore,Furnished,Bachelors,1,Contact Owner,1
3727,2022-04-28,2,18000,1000,Ground out of 2,Carpet Area,"Uppal, NH 2 2",Hyderabad,Furnished,Bachelors,2,Contact Owner,1
575,2022-04-28,1,30000,570,Ground out of 3,Carpet Area,Kurla West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2
2402,2022-04-28,1,5500,200,2 out of 4,Super Area,Pusa Institutional Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
409,2022-04-28,2,10000,700,1 out of 2,Carpet Area,"Sarat Ghosh Garden, Dhakuria",Kolkata,Unfurnished,Bachelors,1,Contact Owner,1
1420,2022-04-28,2,8000,600,2 out of 3,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
2239,2022-04-28,2,30000,900,2 out of 4,Super Area,Sheikh Sarai Phase 1,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2
1707,2022-04-29,2,11000,1100,Ground out of 2,Super Area,Konanakunte,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
2215,2022-04-29,1,9000,500,1 out of 3,Super Area,Chhattarpur,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
2329,2022-04-29,2,25000,900,2 out of 3,Super Area,Pitampura,Delhi,Furnished,Bachelors/Family,1,Contact Owner,2
1708,2022-04-29,2,15000,900,1 out of 3,Carpet Area,"Venkatpura, HSR Layout",Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
2062,2022-04-29,2,15000,80,3 out of 4,Carpet Area,Anand Parbat,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
388,2022-04-29,3,15000,800,Ground out of 4,Carpet Area,Jyangra,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2
301,2022-04-29,3,15000,1200,Ground out of 2,Carpet Area,"Pathak Para, Behala",Kolkata,Unfurnished,Bachelors,2,Contact Owner,1
1672,2022-04-29,2,13000,1000,Ground out of 3,Super Area,"Jayanti Nagar, Hormavu",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
2021,2022-04-29,3,15000,900,3 out of 4,Super Area,Dwarka Mor,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,1
1697,2022-04-29,1,9000,500,3 out of 4,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
2354,2022-04-29,1,10000,42,Ground out of 3,Super Area,Dwarka Sector 23,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
2332,2022-04-29,2,18000,90,3 out of 4,Super Area,Mahaveer Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2
1649,2022-04-29,2,12000,750,1 out of 3,Super Area,"Electronics City Phase 1, Electronic City",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1
2411,2022-04-29,2,23000,900,3 out of 4,Super Area,"Lajpat Nagar II, null",Delhi,Furnished,Bachelors/Family,2,Contact Owner,2
2275,2022-04-29,2,10000,470,2 out of 4,Super Area,Pul Prahlad Pur,Delhi,Furnished,Bachelors/Family,2,Contact Owner,2
467,2022-04-29,1,7500,600,Ground out of 2,Carpet Area,Garfa,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1
2199,2022-04-29,1,4000,120,1 out of 2,Super Area,Najafgarh,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
1987,2022-04-29,1,12000,520,3 out of 4,Carpet Area,Geeta Colony,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
2010,2022-04-29,1,7000,400,4 out of 4,Carpet Area,Aya Nagar,Delhi,Furnished,Bachelors,1,Contact Owner,1
1594,2022-04-29,4,42500,1760,1 out of 4,Carpet Area,Sun City Layout,Bangalore,Unfurnished,Bachelors/Family,3,Contact Owner,3
1588,2022-04-29,3,25000,900,Ground out of 1,Super Area,Kalyan Nagar,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,2
2317,2022-04-29,2,20000,810,3 out of 3,Super Area,Vikaspuri,Delhi,Furnished,Bachelors/Family,2,Contact Owner,2
2314,2022-04-29,3,18000,120,4 out of 5,Super Area,Bhalswa,Delhi,Furnished,Bachelors/Family,3,Contact Owner,2
1988,2022-04-29,1,13000,350,1 out of 5,Super Area,Rohini Sector 3,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
2398,2022-04-29,1,5500,30,2 out of 3,Carpet Area,B-7 veer Singh colony Budh vihar phase 2 delhi,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
1989,2022-04-29,2,11000,600,2 out of 3,Carpet Area,Aya Nagar,Delhi,Furnished,Bachelors,2,Contact Owner,1
2620,2022-04-29,2,12000,900,1 out of 2,Carpet Area,Adambakkam,Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
1712,2022-04-29,2,18000,1250,1 out of 4,Super Area,"Devarachikannahalli, Begur Road",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
1688,2022-04-29,1,7700,600,1 out of 2,Carpet Area,Sir M V Nagar,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
2192,2022-04-29,4,15000,120,Ground out of 2,Super Area,Rohini Sector 38,Delhi,Furnished,Bachelors/Family,4,Contact Owner,1
2798,2022-04-29,2,9000,705,1 out of 3,Carpet Area,"Urapakkam, Vandalur R.F, GST Road",Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
1827,2022-04-29,2,7500,1100,Ground out of 3,Super Area,"Vinayak Nagar, Kattigenahalli",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1847,2022-04-29,2,16000,1150,3 out of 5,Super Area,Nri Layout,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
2012,2022-04-29,2,9000,60,1 out of 3,Super Area,Mehrauli,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
2334,2022-04-29,2,10000,50,1 out of 2,Super Area,Dwarka Sector 8,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
2221,2022-04-29,1,10000,450,2 out of 4,Super Area,"Khirki extension, Malviya Nagar",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
191,2022-04-29,4,10000,1110,2 out of 2,Carpet Area,Purbasa,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
2220,2022-04-29,2,20000,1000,3 out of 4,Super Area,"DDA Devdoot Apartment, Vikaspuri",Delhi,Furnished,Family,1,Contact Owner,2
2760,2022-04-29,1,6500,550,2 out of 2,Super Area,Jawahar Nagar,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,1
2744,2022-04-29,2,13000,800,Ground out of 1,Carpet Area,Porur,Chennai,Furnished,Bachelors,1,Contact Owner,1
2013,2022-04-29,3,22000,1000,1 out of 24,Super Area,"Khanpur Extension, Sangam Vihar",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2
1738,2022-04-29,1,7500,460,3 out of 4,Super Area,Singahalli,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
2219,2022-04-29,1,5000,450,1 out of 4,Super Area,Bhajanpura,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
1737,2022-04-29,2,16000,1200,2 out of 4,Super Area,Hulimavu,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
2710,2022-04-29,2,7500,850,Ground out of 2,Super Area,Anakaputhur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1
2226,2022-04-29,4,18000,900,3 out of 5,Super Area,Subhash Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,3
1858,2022-04-29,2,25000,1305,1 out of 8,Super Area,Jakkur,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
2274,2022-04-29,2,10000,450,4 out of 5,Super Area,Palam,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
2218,2022-04-29,1,6000,400,2 out of 4,Super Area,Mehrauli,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
434,2022-04-29,3,22000,1100,Ground out of 2,Super Area,Salt Lake City Sector 2,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,2
2231,2022-04-29,2,13000,70,2 out of 4,Super Area,"IGNOU Road, Saket",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
1758,2022-04-29,2,18000,850,3 out of 4,Super Area,Padmanabha Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
197,2022-04-29,2,9000,900,Ground out of 1,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
1723,2022-04-29,2,25000,1350,12 out of 13,Super Area,Doddaballapur Road,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
2211,2022-04-29,3,8000,106,Ground out of 4,Super Area,Burari,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
2049,2022-04-29,2,15000,50,2 out of 4,Carpet Area,Dwarka Sector 14,Delhi,Furnished,Bachelors/Family,2,Contact Owner,1
2136,2022-04-29,3,15000,950,Ground out of 3,Super Area,Rohini Sector 4,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2
2269,2022-04-29,3,25000,1000,1 out of 4,Super Area,"Everest Apartment, Kalkaji",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,2
1859,2022-04-29,1,8500,600,3 out of 5,Super Area,Sahakara Nagar,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
1811,2022-04-29,2,20000,300,1 out of 3,Super Area,Nagarathpete,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,2
1713,2022-04-29,2,15000,1000,1 out of 4,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1495,2022-04-29,2,12000,600,Ground out of 2,Super Area,Vijay Enclave,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
829,2022-04-29,1,18000,450,2 out of 4,Super Area,"Nem Vihar, Mulund West",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2
3784,2022-04-29,1,13000,700,1 out of 3,Carpet Area,Panjagutta Colony,Hyderabad,Unfurnished,Bachelors,1,Contact Owner,1
3750,2022-04-29,3,26000,1450,4 out of 7,Super Area,"Lingampally-Serilingampally, NH 2 2",Hyderabad,Furnished,Family,2,Contact Owner,1
860,2022-04-29,2,40000,700,3 out of 6,Super Area,Andheri West,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,3
659,2022-04-29,2,24000,600,1 out of 5,Super Area,Mulund West,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,1
2011,2022-04-29,1,25000,800,4 out of 5,Super Area,Mukherjee Nagar,Delhi,Furnished,Bachelors/Family,2,Contact Owner,2
877,2022-04-29,2,50000,750,Ground out of 5,Super Area,D.N. Nagar,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,3
2140,2022-04-29,3,13000,100,3 out of 4,Super Area,"Viswas Park, Matiala",Delhi,Furnished,Bachelors/Family,2,Contact Owner,1
2121,2022-04-29,2,14000,100,3 out of 4,Super Area,Janakpuri,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
2120,2022-04-29,3,12500,650,3 out of 4,Super Area,Chirag Delhi,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
514,2022-04-29,2,7500,675,Ground out of 2,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
815,2022-04-29,3,40000,1200,2 out of 4,Super Area,Kandivali West,Mumbai,Furnished,Family,2,Contact Owner,3
801,2022-04-29,1,15000,375,13 out of 16,Super Area,Kanjurmarg East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,1
644,2022-04-29,2,40000,650,Ground out of 4,Super Area,Andheri West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,2
1012,2022-04-29,1,26000,649,3 out of 3,Super Area,"Uttam Society, Chembur",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2
844,2022-04-29,1,25000,400,Upper Basement out of 7,Carpet Area,shanti kutir tunga village powai,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2
2135,2022-04-29,1,4500,400,1 out of 2,Super Area,Sagar Pur,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
2122,2022-04-29,2,6000,45,2 out of 3,Super Area,"Devli, Sangam Vihar",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
5,2022-04-29,2,7000,600,Ground out of 1,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
3963,2022-04-29,1,13000,700,1 out of 2,Carpet Area,"Mythri Nagar, Hafeezpet, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2
848,2022-04-29,1,33000,640,11 out of 23,Super Area,Bhandup West,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,2
959,2022-04-29,1,18500,229,5 out of 9,Super Area,Vile Parle,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,2
2150,2022-04-29,2,13000,95,1 out of 4,Super Area,Shahdara,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
2123,2022-04-29,2,10000,600,2 out of 3,Super Area,Trilokpuri,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,1
2119,2022-04-29,2,8000,130,Ground out of 3,Super Area,Raj Nagar 2,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
749,2022-04-29,1,21000,650,6 out of 10,Super Area,Bhandup West,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,2
750,2022-04-29,1,27000,550,4 out of 15,Super Area,"Raj Hill, Borivali East",Mumbai,Furnished,Bachelors/Family,2,Contact Owner,2
756,2022-04-29,1,20000,800,3 out of 4,Super Area,in Byculla,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,2
760,2022-04-29,1,10000,225,7 out of 8,Super Area,Kanjurmarg East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,1
767,2022-04-29,2,40000,710,3 out of 4,Carpet Area,Anushakti Nagar,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,2
768,2022-04-29,1,28000,525,2 out of 8,Super Area,"Balkrishna, Goregaon East",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2
721,2022-04-29,1,15000,225,Ground out of 4,Carpet Area,Shrikrupa Society,Mumbai,Unfurnished,Bachelors,1,Contact Owner,2
2282,2022-04-29,2,14000,800,3 out of 5,Super Area,Mehrauli,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,1
682,2022-04-29,2,50000,950,4 out of 8,Super Area,Ghatkopar East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,3
2133,2022-04-29,2,40000,1100,2 out of 4,Super Area,"Kailash Colony, Greater Kailash",Delhi,Furnished,Bachelors/Family,2,Contact Owner,3
695,2022-04-29,2,50000,1200,2 out of 4,Super Area,Andheri East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,3
2182,2022-04-29,2,13000,900,Ground out of 3,Super Area,Chhattarpur,Delhi,Furnished,Bachelors/Family,2,Contact Owner,1
2148,2022-04-29,1,20000,450,1 out of 3,Super Area,DS 19,Delhi,Unfurnished,Family,1,Contact Owner,2
3348,2022-04-29,3,22000,2000,Upper Basement out of 3,Carpet Area,A 307 Blossom Heights,Hyderabad,Furnished,Bachelors,3,Contact Owner,1
1405,2022-04-29,1,10000,750,2 out of 5,Super Area,whitefield,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
2154,2022-04-29,1,5000,450,Ground out of 3,Super Area,Vikash Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
1373,2022-04-29,2,23000,1066,3 out of 4,Super Area,Manayata Tech Park,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,2
798,2022-04-29,1,25000,596,1 out of 7,Super Area,Kandivali West,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,2
824,2022-04-29,1,11000,650,18 out of 19,Super Area,Mira Road,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,1
98,2022-04-29,4,18000,1200,1 out of 2,Super Area,Bagbazar,Kolkata,Unfurnished,Family,2,Contact Owner,3
2176,2022-04-29,1,11000,500,Ground out of 4,Super Area,Rohini Sector 17,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
2149,2022-04-29,2,7000,500,1 out of 2,Super Area,Mahipalpur,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
1404,2022-04-29,2,12000,1400,2 out of 4,Super Area,Kothanur,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
4075,2022-04-30,1,7000,300,1 out of 2,Super Area,Sainikpuri,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner,3
1916,2022-04-30,1,20000,250,1 out of 1,Carpet Area,"Nizamuddin East, Nizamuddin",Delhi,Furnished,Bachelors/Family,1,Contact Owner,2
2493,2022-04-30,2,11200,700,1 out of 2,Super Area,Nanganallur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1
3350,2022-04-30,2,23000,1000,Upper Basement out of 3,Super Area,"Banjara Hills, NH 9",Hyderabad,Furnished,Bachelors/Family,1,Contact Owner,2
1664,2022-04-30,1,8500,500,1 out of 2,Super Area,"Rmv Extension, Armane Nagar",Bangalore,Furnished,Bachelors,1,Contact Owner,1
3952,2022-04-30,1,8000,300,1 out of 3,Super Area,Allwyn Colony,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner,1
3367,2022-04-30,1,4000,300,3 out of 3,Super Area,in Syed Ali Guda,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,1
2777,2022-04-30,1,5000,800,1 out of 2,Super Area,"Tondiarpet, Ennore High Road",Chennai,Unfurnished,Family,1,Contact Owner,1
3972,2022-04-30,1,9000,600,2 out of 2,Super Area,Secretariat Hills,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,3
43,2022-04-30,2,8500,700,4 out of 14,Carpet Area,Baruipur,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1
3951,2022-04-30,2,11000,950,2 out of 4,Super Area,Nagole,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,3
2715,2022-04-30,2,8000,800,Lower Basement out of 3,Carpet Area,"Kamakshiamman Nagar Layout, Iyyappanthangal",Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1
3377,2022-04-30,2,7000,800,2 out of 3,Super Area,Chandrayanguttabalguda,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,1
3940,2022-04-30,1,7500,1000,Ground out of 2,Super Area,"Ramachandra Puram, NH 9",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,2
2703,2022-04-30,2,9000,700,1 out of 4,Carpet Area,"Tambaram West, Tambaram, Chennai Bypass Road",Chennai,Furnished,Bachelors,2,Contact Owner,1
4051,2022-04-30,2,12500,1100,2 out of 5,Super Area,"Vanasthalipuram, NH 9",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,1
3828,2022-04-30,3,22000,1700,2 out of 3,Super Area,"Vahini nagar, Karkhana, Hyderabad road no 2a",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,1
3297,2022-04-30,2,13000,1200,3 out of 4,Super Area,Attapur,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,1
2665,2022-04-30,2,16000,900,2 out of 2,Carpet Area,Thirumangalam-Anna Nagar West,Chennai,Furnished,Bachelors,2,Contact Owner,2
3594,2022-04-30,2,9000,875,4 out of 5,Super Area,Attapur,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,1
2492,2022-04-30,2,13000,600,1 out of 3,Super Area,Medavakkam,Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
